"Process","name","Dimensions","image","Provenance"
"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b w, color, and polaroid photographs on board","Matt Mullican","96 x 48 in. (243.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.118&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Acquisition and Collection Committee"
"Oil on canvas","Matt Mullican","72 x 192 in. (182.9 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.101&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The Gerard Junior Foundation"
"Mixed media on paper on aludibond on wood","Franz Ackermann","48 3 16 x 70 5 16 x 33 11 16 in. (122.4 x 178.6 x 85.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2007.62&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b w, color, and polaroid photographs on board","Matt Mullican","96 x 48 in. (243.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.118&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Acquisition and Collection Committee"
"Oil on canvas","Matt Mullican","72 x 192 in. (182.9 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.101&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The Gerard Junior Foundation"
"Video, DVD-R, PAL, edition2 16","Matt Mullican","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.8&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by John Baldessari"
"Acrylic on aluminum","Marilyn Minter","30 x 24 in. (76.2 x 61 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=92.58&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Ruth and Jacob Bloom"
"Oil on canvas","Victoria Morton","Image: 16 x 14 in. (40.6 x 35.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.129&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Matthew Aberle"
"Gelatin silver print","Arnold Newman","Image: 20 x 16 in. (50.8 x 40.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.89&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Marsha N. Levine"
"Bronze with patina, edition 6 9","Yoko Ono","11 7 8 x 8 7 8 x 1 3 4 in. (30.2 x 22.5 x 4.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=98.16&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The Audrey and Sydney Irmas Charitable Foundation"
"Ceramic","Robert Arneson","16 x 16 x 13 in. (40.6 x 40.6 x 33 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2006.40&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine"
"Oil stick on paper","Yoshitomo Nara","Paper: 16 5 8 x 13 in. (42.2 x 33 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=99.101.2&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Ruth and Jacob Bloom"
"Gelatin silver print","Arnold Newman","Image: 20 x 16 in. (50.8 x 40.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.89&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Marsha N. Levine"
"Gelatin silver print","Arnold Newman","Image: 14 x 11 in. (35.6 x 27.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.86&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Marsha N. Levine"
"Oil on canvas","George McNeil","68 x 56 in. (172.7 x 142.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=92.60&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of David J. Haddad"
"Acrylic on paper","Dave Muller","Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.7A-F&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Acrylic on aluminum","Marilyn Minter","30 x 24 in. (76.2 x 61 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=92.58&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Ruth and Jacob Bloom"
"Blueprint on paper","Marilyn Minter","168 1 2 x 30 1 2 in. (428 x 77.5 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=96.38&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Councilman Joel Wachs"
"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b w, color, and polaroid photographs on board","Matt Mullican","96 x 48 in. (243.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.118&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Acquisition and Collection Committee"
"Oil on canvas","Matt Mullican","72 x 192 in. (182.9 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.101&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The Gerard Junior Foundation"
"Video, DVD-R, PAL, edition2 16","Matt Mullican","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.8&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by John Baldessari"
"Black and white photograph","Matt Mullican","23 1 2 x 17 1 2 in. (59.7 x 44.5 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.125.9&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Audrey M. Irmas"
"Cinderblocks, stools, planks, light, audio","Vito Acconci","18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=88.1&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation"
"6 prints, aquatint and photoetching, edition 11 25","Vito Acconci","Each: 23 1 2 x 31 in. (59.7 x 78.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=81.1A-F&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The American Art Foundation"
"Rebar, plaster, canvas, steel cable, audio, and lights","Vito Acconci","288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=91.8&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of James Corcoran Gallery"
"Gelatin silver print","Cindy Sherman","10 x 8 in. (25.4 x 20.3 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=95.56&dim=300px","The Museum of Contemporary Art, Los Angeles Puchased with funds provided by the friends of Marsha Kleinman in her memory"
"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b w, color, and polaroid photographs on board","Matt Mullican","96 x 48 in. (243.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.118&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Acquisition and Collection Committee"
"Oil on canvas","Matt Mullican","72 x 192 in. (182.9 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.101&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The Gerard Junior Foundation"
"Video, DVD-R, PAL, edition2 16","Matt Mullican","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.8&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by John Baldessari"
"Black and white photograph","Matt Mullican","23 1 2 x 17 1 2 in. (59.7 x 44.5 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.125.9&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Audrey M. Irmas"
"Video, DVD-R, PAL, edition 2 8","Matt Mullican","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.9&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by John Baldessari"
"Oil on canvas","George McNeil","68 x 56 in. (172.7 x 142.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=92.60&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of David J. Haddad"
"Acrylic on paper","Dave Muller","Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.7A-F&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Acrylic on paper","Dave Muller","60 x 40 in. (152.4 x 101.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2002.18&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Drawings Committee, 2002"
"Acrylic, color pencil, and needle on paper","Sandeep Mukherjee","Paper: 42 1 4 x 92 1 4 in. (107.3 x 234.3 cm) Frame: 48 3 4 x 98 1 2 in. (123.8 x 250.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.5&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Gary and Tracy Mezzatesta and Susan Matheson"
"Color photograph, edition 5 6","Walter Niedermayr","42 1 2 x 159 in. (108 x 403.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2002.13A-C&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Curatorial Discretionary Fund"
"Watercolor and graphite on paper","Chris Ofili","Each: 9 1 2 x 6 1 4 in. (24.1 x 15.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.48A-I&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Rosette V. Delug"
"Acrylic, color pencil, and needle on paper","Sandeep Mukherjee","Paper: 42 1 4 x 92 1 4 in. (107.3 x 234.3 cm) Frame: 48 3 4 x 98 1 2 in. (123.8 x 250.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.5&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Gary and Tracy Mezzatesta and Susan Matheson"
"Pencil and silverpoint on paper (2 sheets)","Paul Noble","Each (Top Sheet): 59 x 78 3 4 in. (149.9 x 200 cm) Each (Bottom sheet): 51 3 4 x 78 3 4 in. (131.4 x 200 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.3&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Beth Swofford and The Drawings Committee"
"Ink, collage, and sequins on mylar","Wangechi Mutu","50 x 43 in. (127 x 109.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.99&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Manfred and Jennifer Simchowitz"
"Oil on canvas","Victoria Morton","Image: 16 x 14 in. (40.6 x 35.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.129&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Matthew Aberle"
"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","Paul McCarthy","Overall dimensions variable Photographs: 70 x 48 in. (177.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.1&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Eugenio Lopez"
"Acrylic, paper, plaster, steel and mesh","Michael McClard","29 1 4 x 22 5 8 x 3 1 4 in. (74.3 x 57.5 x 8.3 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.70&dim=300px","The Museum of Contemporary Art, Los Angeles The Barry Lowen Collection"
"Cinderblocks, stools, planks, light, audio","Vito Acconci","18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=88.1&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation"
"6 prints, aquatint and photoetching, edition 11 25","Vito Acconci","Each: 23 1 2 x 31 in. (59.7 x 78.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=81.1A-F&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The American Art Foundation"
"Rebar, plaster, canvas, steel cable, audio, and lights","Vito Acconci","288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=91.8&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of James Corcoran Gallery"
"Gelatin silver print","Cindy Sherman","10 x 8 in. (25.4 x 20.3 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=95.56&dim=300px","The Museum of Contemporary Art, Los Angeles Puchased with funds provided by the friends of Marsha Kleinman in her memory"
"Sprayed acrylic lacquer on vacuum-formed plexiglas","Craig Kauffman","36 x 62 x 16 in. (91.4 x 157.5 x 40.6 cm) Other (Flat): 22 x 50 x 16 in. (55.9 x 127 x 40.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=82.4&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Irving Blum"
"Ceramic, iron, wood, and four clamping screws","Mark Manders","70 1 2 x 47 1 4 x 71 5 8 in. (179 x 120 x 182 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.93&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Rosette Delug"
"Oil on canvas","George McNeil","68 x 56 in. (172.7 x 142.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=92.60&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of David J. Haddad"
"Acrylic on paper","Dave Muller","Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.7A-F&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Acrylic on paper","Dave Muller","60 x 40 in. (152.4 x 101.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2002.18&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Drawings Committee, 2002"
"Acrylic and ink on paper","Dave Muller","12 x 9 in. (30.5 x 22.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2002.17&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Drawings Committee, 2002"
"Oil on canvas","Victoria Morton","Image: 16 x 14 in. (40.6 x 35.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.129&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Matthew Aberle"
"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","Paul McCarthy","Overall dimensions variable Photographs: 70 x 48 in. (177.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.1&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Eugenio Lopez"
"Cibachrome print, edition 2 3","Paul McCarthy","72 x 48 in. (182.9 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2004.172&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Blake Byrne"
"Gelatin silver print","Arnold Newman","Image: 20 x 16 in. (50.8 x 40.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.89&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Marsha N. Levine"
"Gelatin silver print","Arnold Newman","Image: 14 x 11 in. (35.6 x 27.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.86&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Marsha N. Levine"
"Gelatin silver print","Arnold Newman","Image: 10 x 8 in. (25.4 x 20.3 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.85&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Marsha N. Levine"
"Silver gelatin print","Helmut Newton","24 x 20 in. (61 x 50.8 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2004.185&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Blake Byrne"
"Ceramic","Robert Arneson","16 x 16 x 13 in. (40.6 x 40.6 x 33 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2006.40&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine"
"Oil stick on paper","Yoshitomo Nara","Paper: 16 5 8 x 13 in. (42.2 x 33 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=99.101.2&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Ruth and Jacob Bloom"
"Oil stick on paper","Yoshitomo Nara","Paper: 16 5 8 x 13 in. (42.2 x 33 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=99.101.1&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Ruth and Jacob Bloom"
"Watercolor and graphite on paper","Chris Ofili","Each: 9 1 2 x 6 1 4 in. (24.1 x 15.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.48A-I&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Rosette V. Delug"
"Acrylic, collage, glitter, resin, pencil, map pins, and elephant dung on canvas","Chris Ofili","96 x 72 in. (243.8 x 182.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=99.38A-C&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Broad Art Foundation"
"Destroyed piano","Raphael Montanez Ortiz","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=98.14&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of the artist"
"Color lithograph, edition 18 40","Ed Paschke","34 1 4 x 23 7 8 in. (87 x 60.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=84.1&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of First Interstate Bank of California Foundation"
"Disassembled 1989 Volkswagen Beetle and C-print","Damisn Ortega","265 x 276 x 296 in. (673.1 x 701 x 751.8 cm) C-print: 16 x 20 in. (40.6 x 50.8 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.21A-B&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by Eugenio Loacute;pez and the Jumex Fund for Contemporary Latin American Art"
"Cardboard, newspaper, string, masking tape, and paint","Patrick Nickell","50 x 46 x 18 in. (127 x 116.8 x 45.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.72&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Curatorial Discretionary Fund and David Richards and Geoff Tuck"
"Ink, collage, and sequins on mylar","Wangechi Mutu","50 x 43 in. (127 x 109.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.99&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Manfred and Jennifer Simchowitz"
"Collage, ink, and acrylic on Mylar","Wangechi Mutu","22 x 17 in. (55.9 x 43.2 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.18&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Drawings Committee and Alexander and Rebecca Stewart"
"Silver gelatin print","Damian Moppett","32 1 2 x 34 in. (82.6 x 86.4 cm) Paper: 19 1 2 x 22 in. (49.5 x 55.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.14&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Patrick Painter in honor of Kathleen Bartels"
"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b w, color, and polaroid photographs on board","Matt Mullican","96 x 48 in. (243.8 x 121.9 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.118&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by the Acquisition and Collection Committee"
"Oil on canvas","Matt Mullican","72 x 192 in. (182.9 x 487.7 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.101&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of The Gerard Junior Foundation"
"Video, DVD-R, PAL, edition2 16","Matt Mullican","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.8&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by John Baldessari"
"Black and white photograph","Matt Mullican","23 1 2 x 17 1 2 in. (59.7 x 44.5 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2001.125.9&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Audrey M. Irmas"
"Video, DVD-R, PAL, edition 2 8","Matt Mullican","Dimensions variable","http:  www.moca.org museum pc_media_viewer.php acsnum=2005.9&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by John Baldessari"
"Pencil on paper","Matt Mullican","40 3 4 x 52 3 4 in. (103.5 x 134 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2004.180&dim=300px","The Museum of Contemporary Art, Los Angeles Partial and promised gift of Blake Byrne"
"Ink on graph paper","Carl Andre","10 7 8 x 8 3 8 in. (27.6 x 21.3 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.75&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Lithograph on paper","Josef Albers","Frame: 21 1 2 x 21 1 2 x 1 1 2 in. (54.6 x 54.6 x 3.8 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.81&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Martha Bertonneau Padve"
"Ink on graph paper","Carl Andre","10 7 8 x 8 3 8 in. (27.6 x 21.3 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.75&dim=300px","The Museum of Contemporary Art, Los Angeles Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Aluminum blocks","Carl Andre","Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm) 4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=97.7&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Lannan Foundation"
"Oil on canvas","Elizabeth Murray","111 3 4 x 114 in. (283.8 x 289.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=85.74&dim=300px","The Museum of Contemporary Art, Los Angeles The Barry Lowen Collection"
"Silver print, edition 6 7","Diana Michener","17 x 13 3 8 in. (43.2 x 34 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2003.97&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Bruce and Nancy Berman"
"Oil on canvas","Victoria Morton","Image: 16 x 14 in. (40.6 x 35.6 cm)","http:  www.moca.org museum pc_media_viewer.php acsnum=2008.129&dim=300px","The Museum of Contemporary Art, Los Angeles Gift of Matthew Aberle"
